key,module,page,component,slot,text,notes,status
skills.filter.clear,ui,SkillsPage,SkillsPage,filter_clear,Clear filters,,active
skills.filter.result_count,ui,SkillsPage,SkillsPage,filter_result_count,{{filtered}} of {{total}} skills,,active
skills.filter.result_count_browse,ui,SkillsPage,SkillsPage,filter_result_count_browse,{{count}} results,,active
skills.empty.no_match,ui,SkillsPage,SkillsPage,empty_no_match,No skills match the current filters.,,active
hint.dismiss,ui,shared,DismissibleHint,hint_dismiss,Dismiss hint,,active
hint.dismissible_aria,ui,shared,DismissibleHint,hint_dismissible_aria,Dismissible hint,,active
skills.card.installed,ui,SkillsPage,SkillCard,card_installed,Installed,,active
skills.card.manage,ui,SkillsPage,SkillCard,card_manage,Manage,,active
skills.card.targets_prefix,ui,SkillsPage,SkillCard,card_targets_prefix,Will install to:,,active
skills.card.targets_change,ui,SkillsPage,SkillCard,card_targets_change,Change,,active
skills.card.installs,ui,SkillsPage,SkillCard,installs,{{count}} installs,,active
skills.source.label,ui,SkillsPage,SkillsPage,source_label,Source,,active
skills.source.all,ui,SkillsPage,SkillsPage,source_all,All repositories,,active
skills.mode.repo,ui,SkillsPage,SkillsPage,mode_repo,Repositories,,active
skills.mode.skillssh,ui,SkillsPage,SkillsPage,mode_skillssh,skills.sh,,active
skills.browse.placeholder_all,ui,SkillsPage,SkillsPage,browse_placeholder_all,Search across enabled repositories…,,active
skills.browse.placeholder_repo,ui,SkillsPage,SkillsPage,browse_placeholder_repo,Search in {{repo}}…,,active
skills.browse.placeholder_skillssh,ui,SkillsPage,SkillsPage,browse_placeholder_skillssh,Search the skills.sh registry…,,active
skills.browse.empty_sources,ui,SkillsPage,SkillsPage,browse_empty_sources,Add a GitHub repository below to start browsing skills.,,active
skills.browse.add_repo_hint,ui,SkillsPage,SkillsPage,browse_add_repo_hint,Need more skills? Add a GitHub repository.,,active
skills.browse.manage_sources,ui,SkillsPage,SkillsPage,browse_manage_sources,Manage sources,,active
skills.browse.hint_skillssh,ui,SkillsPage,SkillsPage,browse_hint_skillssh,Type at least 2 characters to search skills.sh.,,active
skills.browse.loading_hint,ui,SkillsPage,SkillsPage,browse_loading_hint,Fetching skill metadata from GitHub. First load can take up to a minute; results are cached.,,active
skills.error.generic,ui,SkillsPage,SkillsPage,error_generic,Skill operation failed.,,active
skills.confirm.remove_title,ui,SkillsPage,SkillsPage,confirm_remove_title,Remove {{name}}?,,active
skills.confirm.remove_managed,ui,SkillsPage,SkillsPage,confirm_remove_managed,This skill will be removed from every connected AI tool. You'll have a few seconds to undo.,,active
skills.confirm.remove_local,ui,SkillsPage,SkillsPage,confirm_remove_local,This will delete the skill folder on disk from every connected AI tool. This cannot be undone.,,active
skills.toast.removed,ui,SkillsPage,SkillsPage,toast_removed,Removed {{name}}.,,active
shared.action.undo,shared,*,Shared,action_undo,Undo,,active
shared.action.dismiss,shared,*,Shared,action_dismiss,Dismiss,,active
shared.action.cancel,shared,*,Shared,action_cancel,Cancel,,active
shared.action.apply,shared,*,Shared,action_apply,Apply,,active
skills.empty.my,ui,SkillsPage,SkillsPage,empty_my,No skills yet. Open Discover to search and install.,,active
skills.empty.my_cta,ui,SkillsPage,SkillsPage,empty_my_cta,Browse,,active
skills.empty.browse,ui,SkillsPage,SkillsPage,empty_browse,No skills found for this source.,,active
skills.empty.search,ui,SkillsPage,SkillsPage,empty_search,No results. Try a different query.,,active
skills.repo.placeholder,ui,SkillsPage,SkillsPage,repo_placeholder,owner/repository,,active
skills.repo.add,ui,SkillsPage,SkillsPage,repo_add,Add repository,,active
skills.repo.invalid,ui,SkillsPage,SkillsPage,repo_invalid,Use owner/repository or a GitHub repository URL.,,active
skills.repo.remove,ui,SkillsPage,RepoRow,repo_remove,Remove repository,,active
settings.appearance.language.label,ui,SettingsPage,SettingsPage,language_label,Language,,active
settings.appearance.language.hint,ui,SettingsPage,SettingsPage,language_hint,Use System to follow your computer language by default.,,active
settings.appearance.language.system,ui,SettingsPage,SettingsPage,language_system,System,,active
settings.appearance.language.english,ui,SettingsPage,SettingsPage,language_english,English,,active
settings.appearance.language.chinese,ui,SettingsPage,SettingsPage,language_chinese,Simplified Chinese,,active
settings.appearance.language.traditional_chinese,ui,SettingsPage,SettingsPage,language_traditional_chinese,Traditional Chinese,,active
settings.appearance.language.japanese,ui,SettingsPage,SettingsPage,language_japanese,Japanese,,active
settings.appearance.language.korean,ui,SettingsPage,SettingsPage,language_korean,Korean,,active
dashboard.context_breakdown.card_title,dashboard,DashboardPage,ContextCard,card_title,Context breakdown,,active
dashboard.context_breakdown.empty,dashboard,DashboardPage,ContextBreakdownPanel,empty,No Claude Code activity in the selected period.,,active
dashboard.context_breakdown.empty_codex,dashboard,DashboardPage,ContextBreakdownPanel,empty_codex,No Codex activity in the selected period.,,active
dashboard.context_breakdown.error,dashboard,DashboardPage,ContextBreakdownPanel,error,Couldn't read Claude Code logs for this view.,,active
dashboard.context_breakdown.error_codex,dashboard,DashboardPage,ContextBreakdownPanel,error_codex,Couldn't read Codex logs for this view.,,active
dashboard.context_breakdown.bar_aria,dashboard,DashboardPage,ContextBreakdownPanel,bar_aria,Token distribution: {{summary}},,active
dashboard.context_breakdown.system_prefix_tooltip,dashboard,DashboardPage,ContextBreakdownPanel,tooltip,"System prompt, tools schema, skills, rules, and MCP descriptions are cached together as one prefix and can't be separated from the logs.",,active
dashboard.context_breakdown.footnote,dashboard,DashboardPage,ContextBreakdownPanel,footnote,"Approximate: cache reads accumulate across turns, so conversation history dominates over time. Only Claude Code logs expose the per-message detail this view requires.",,active
dashboard.context_breakdown.footnote_codex,dashboard,DashboardPage,ContextBreakdownPanel,footnote_codex,Codex uses non-overlapping token buckets here. Tool and exec drill-downs are separate heuristic attributions over the same turns.,,active
dashboard.context_breakdown.category.system_prompt,dashboard,DashboardPage,ContextBreakdownPanel,cat,System prompt,,active
dashboard.context_breakdown.category.messages,dashboard,DashboardPage,ContextBreakdownPanel,cat,Messages,,active
dashboard.context_breakdown.category.tool_calls,dashboard,DashboardPage,ContextBreakdownPanel,cat,Tool calls,,active
dashboard.context_breakdown.category.mcp_servers,dashboard,DashboardPage,ContextBreakdownPanel,cat,MCP servers,,active
dashboard.context_breakdown.category.custom_agents,dashboard,DashboardPage,ContextBreakdownPanel,cat,Custom agents,,active
dashboard.context_breakdown.category.reasoning,dashboard,DashboardPage,ContextBreakdownPanel,cat,Reasoning,,active
dashboard.context_breakdown.category.skills,dashboard,DashboardPage,ContextBreakdownPanel,cat,Skills,,active
dashboard.context_breakdown.loading_aria,dashboard,DashboardPage,ContextBreakdownPanel,loading_aria,Loading context breakdown,,active
dashboard.context_breakdown.loading_hint,dashboard,DashboardPage,ContextBreakdownPanel,loading_hint,Scanning session logs…,,active
dashboard.context_breakdown.tool_details.total_column,dashboard,DashboardPage,ContextBreakdownPanel,tool_details_total_column,Total,,active
dashboard.context_breakdown.tool_details.unavailable_codex,dashboard,DashboardPage,ContextBreakdownPanel,tool_details_unavailable_codex,Tool-level Codex details are unavailable for this period; showing queue totals only.,,active
dashboard.context_breakdown.message_details.title,dashboard,DashboardPage,ContextBreakdownPanel,message_details_title,Message details,,active
dashboard.context_breakdown.message_details.note,dashboard,DashboardPage,ContextBreakdownPanel,message_details_note,Aggregated only — message text is not stored.,,active
dashboard.context_breakdown.message_details.category_column,dashboard,DashboardPage,ContextBreakdownPanel,message_details_category_column,Category,,active
dashboard.context_breakdown.message_details.user_input,dashboard,DashboardPage,ContextBreakdownPanel,message_details_user_input,User input,,active
dashboard.context_breakdown.message_details.conversation_history,dashboard,DashboardPage,ContextBreakdownPanel,message_details_conversation_history,Conversation history,,active
dashboard.context_breakdown.message_details.assistant_response,dashboard,DashboardPage,ContextBreakdownPanel,message_details_assistant_response,Assistant response,,active
dashboard.context_breakdown.exec_details.title,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_title,Exec command details,,active
dashboard.context_breakdown.exec_details.kind_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_kind_column,Type,,active
dashboard.context_breakdown.exec_details.calls_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_calls_column,Calls,,active
dashboard.context_breakdown.exec_details.failures_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_failures_column,Fail,,active
dashboard.context_breakdown.exec_details.duration_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_duration_column,Duration,,active
dashboard.context_breakdown.exec_details.max_duration_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_max_duration_column,Max,,active
dashboard.context_breakdown.exec_details.output_column,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_output_column,Lines,,active
dashboard.context_breakdown.exec_details.group_by_type,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_group_by_type,By type,,active
dashboard.context_breakdown.exec_details.group_by_executable,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_group_by_executable,Executable,,active
dashboard.context_breakdown.exec_details.group_by_command,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_group_by_command,Command,,active
dashboard.context_breakdown.exec_details.group_by_duration,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_group_by_duration,Duration,,active
dashboard.context_breakdown.exec_details.group_by_output,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_group_by_output,Output,,active
dashboard.context_breakdown.exec_details.group_by_exit,dashboard,DashboardPage,ContextBreakdownPanel,exec_details_group_by_exit,By exit,,active
heatmap.3d.hover_tip,ui,ActivityHeatmap,ActivityHeatmap,hover_tip,Click to enter 3D fullscreen rotation analysis mode,,active
heatmap.3d.modal.title,ui,ActivityHeatmap,ActivityHeatmap,title,Token 3D Perspective,,active
heatmap.3d.modal.desc,ui,ActivityHeatmap,ActivityHeatmap,desc,Drag with left mouse button to rotate. Hover to inspect daily activity and multidimensional metrics.,,active
heatmap.3d.modal.stats.total_tokens,ui,ActivityHeatmap,ActivityHeatmap,stats_total_tokens,Annual Total Tokens,,active
heatmap.3d.modal.stats.precision_total_tokens,ui,ActivityHeatmap,ActivityHeatmap,stats_precision_total_tokens,Precise annual consumption,,active
heatmap.3d.modal.stats.estimated_cost,ui,ActivityHeatmap,ActivityHeatmap,stats_estimated_cost,Annual Estimated Cost,,active
heatmap.3d.modal.stats.active_rate_days,ui,ActivityHeatmap,ActivityHeatmap,stats_active_rate_days,Active Rate / Days,,active
heatmap.3d.modal.stats.max_streak,ui,ActivityHeatmap,ActivityHeatmap,stats_max_streak,Longest Active Streak,,active
heatmap.3d.modal.stats.days_suffix,ui,ActivityHeatmap,ActivityHeatmap,stats_days_suffix,Days,,active
heatmap.3d.modal.stats.peak_day,ui,ActivityHeatmap,ActivityHeatmap,stats_peak_day,Peak Day Blowout,,active
heatmap.3d.modal.stats.precision_peak_value,ui,ActivityHeatmap,ActivityHeatmap,stats_precision_peak_value,Precise daily peak,,active
heatmap.3d.modal.stats.no_data,ui,ActivityHeatmap,ActivityHeatmap,stats_no_data,No data,,active
heatmap.3d.modal.legend.title,ui,ActivityHeatmap,ActivityHeatmap,legend_title,Activity Levels,,active
heatmap.3d.modal.palette.emerald,ui,ActivityHeatmap,ActivityHeatmap,palette_emerald,Emerald City,,active
heatmap.3d.modal.palette.ocean,ui,ActivityHeatmap,ActivityHeatmap,palette_ocean,Ocean Abyss,,active
heatmap.3d.modal.palette.neon,ui,ActivityHeatmap,ActivityHeatmap,palette_neon,Cyber Neon,,active
heatmap.3d.modal.palette.amber,ui,ActivityHeatmap,ActivityHeatmap,palette_amber,Blazing Amber,,active
heatmap.3d.modal.control.play,ui,ActivityHeatmap,ActivityHeatmap,control_play,Start slow rotation,,active
heatmap.3d.modal.control.pause,ui,ActivityHeatmap,ActivityHeatmap,control_pause,Pause auto-rotation,,active
heatmap.3d.modal.control.reset,ui,ActivityHeatmap,ActivityHeatmap,control_reset,Reset 3D view,,active
heatmap.3d.modal.footer.tip,ui,ActivityHeatmap,ActivityHeatmap,footer_tip,Pinch to zoom / Scroll to zoom / Drag to rotate 3D chart,,active
heatmap.3d.modal.ai.title.default,ui,ActivityHeatmap,ActivityHeatmap,ai_title_default,Persistent Creator,,active
heatmap.3d.modal.ai.eval.default,ui,ActivityHeatmap,ActivityHeatmap,ai_eval_default,"Persist in the river of technology. Daily coding may not always be majestic, but every tiny active point records your thoughts and exploration. Sparks accumulate, eventually converging into your own digital ocean.",,active
heatmap.3d.modal.ai.title.peak,ui,ActivityHeatmap,ActivityHeatmap,ai_title_peak,Peak Contributor,,active
heatmap.3d.modal.ai.eval.peak,ui,ActivityHeatmap,ActivityHeatmap,ai_eval_peak,"This year, your token output shows extremely high engineering density. This scale of development is equivalent to deeply participating in the refactoring of a medium-to-large system base, with each keystroke converging complex logic into deterministic code. A testament to pure engineering passion.",,active
heatmap.3d.modal.ai.title.heavy,ui,ActivityHeatmap,ActivityHeatmap,ai_title_heavy,Heavy Producer,,active
heatmap.3d.modal.ai.eval.heavy,ui,ActivityHeatmap,ActivityHeatmap,ai_eval_heavy,"Exceptional continuous output. Your accumulated tokens have reached millions, equivalent to the volume of dozens of technical novellas. The highly saturated coding pace demonstrates your great execution in building digital assets.",,active
heatmap.3d.modal.ai.title.core,ui,ActivityHeatmap,ActivityHeatmap,ai_title_core,Core Productivity Expert,,active
heatmap.3d.modal.ai.eval.core,ui,ActivityHeatmap,ActivityHeatmap,ai_eval_core,"Highly resilient long-term commitment. Over the past year, you have steadily maintained a high-intensity development rhythm. With solid code volume and token output, you have silently built the core architecture, a true engineering backbone.",,active
heatmap.3d.modal.ai.title.steady,ui,ActivityHeatmap,ActivityHeatmap,ai_title_steady,Steady Developer,,active
heatmap.3d.modal.ai.eval.steady,ui,ActivityHeatmap,ActivityHeatmap,ai_eval_steady,Steady and firm accumulation of technology. Every step of token increment is a brick in the foundation of your future. This slow but steady pace is the path for an excellent developer to become an engineering master.,,active
heatmap.3d.voxel.joke.1,ui,ActivityHeatmap3D,ActivityHeatmap3D,voxel_joke1,🔥 Extremely crazy! Produced {{value}} tokens! Are you training a large language model or writing a compiler by hand?,,active
heatmap.3d.voxel.joke.2,ui,ActivityHeatmap3D,ActivityHeatmap3D,voxel_joke2,"🚀 Epic output! Total {{value}} tokens. Today's production can circle the earth once, even the AI is amazed by you!",,active
heatmap.3d.voxel.joke.3,ui,ActivityHeatmap3D,ActivityHeatmap3D,voxel_joke3,"⚡ Critical Day! {{value}} tokens. Code is gushing out, and the keyboard is starting to smoke!",,active
heatmap.3d.voxel.level3,ui,ActivityHeatmap3D,ActivityHeatmap3D,voxel_level3,"⚡ Productivity explosion ({{value}} tokens)! High efficiency and focus, keep up this peak state!",,active
heatmap.3d.voxel.level2,ui,ActivityHeatmap3D,ActivityHeatmap3D,voxel_level2,"🌱 Getting into the groove ({{value}} tokens)! Steady output, every keystroke is contributing to the architecture.",,active
heatmap.3d.voxel.level1,ui,ActivityHeatmap3D,ActivityHeatmap3D,voxel_level1,"🍃 Every drop counts ({{value}} tokens). Tiny commits are investments in the future, embrace compound interest!",,active
heatmap.3d.voxel.level0,ui,ActivityHeatmap3D,ActivityHeatmap3D,voxel_level0,"💤 Recharging. On days without coding, inspiration grows silently.",,active
ipcheck.page.title,ui,IpCheckPage,IpCheckPage,page_title,Claude IP Check,,active
ipcheck.page.subtitle,ui,IpCheckPage,IpCheckPage,page_subtitle,"Inspect the exit IP used to reach Claude, plus reputation, geo, and risk signals that may affect sign-in or trigger rate-limiting.",,active
ipcheck.mask.toggle,ui,IpCheckPage,IpCheckPage,mask_toggle,Hide IP,,active
ipcheck.ipv6.warn,ui,IpCheckPage,IpCheckPage,ipv6_warn,IPv6 detected. Using IPv6 to reach Claude Code is not recommended; some checks may be incomplete.,,active
ipcheck.ip.cn,ui,IpCheckPage,IpCheckPage,ip_cn,China exit IPv4,,active
ipcheck.ip.cloudflare,ui,IpCheckPage,IpCheckPage,ip_cloudflare,Cloudflare exit,,active
ipcheck.ip.claude,ui,IpCheckPage,IpCheckPage,ip_claude,Claude exit,,active
ipcheck.ip.failed,ui,IpCheckPage,IpCheckPage,ip_failed,Unable to fetch,,active
ipcheck.ip.loading,ui,IpCheckPage,IpCheckPage,ip_loading,Loading...,,active
ipcheck.trust.title,ui,IpCheckPage,IpCheckPage,trust_title,Trust Score,,active
ipcheck.trust.subtitle,ui,IpCheckPage,IpCheckPage,trust_subtitle,IP cleanliness from Claude's risk view,,active
ipcheck.trust.no_data,ui,IpCheckPage,IpCheckPage,trust_no_data,No data,,active
ipcheck.trust.no_ip,ui,IpCheckPage,IpCheckPage,trust_no_ip,Claude exit IP not detected — cannot score,,active
ipcheck.trust.no_score,ui,IpCheckPage,IpCheckPage,trust_no_score,No score data for this IP,,active
ipcheck.trust.gauge.low,ui,IpCheckPage,IpCheckPage,trust_gauge_low,0 High risk,,active
ipcheck.trust.gauge.high,ui,IpCheckPage,IpCheckPage,trust_gauge_high,100 Trusted,,active
ipcheck.trust.label.pristine,ui,IpCheckPage,IpCheckPage,trust_label_pristine,Pristine,,active
ipcheck.trust.label.clean,ui,IpCheckPage,IpCheckPage,trust_label_clean,Clean,,active
ipcheck.trust.label.good,ui,IpCheckPage,IpCheckPage,trust_label_good,Good,,active
ipcheck.trust.label.neutral,ui,IpCheckPage,IpCheckPage,trust_label_neutral,Neutral,,active
ipcheck.trust.label.suspicious,ui,IpCheckPage,IpCheckPage,trust_label_suspicious,Suspicious,,active
ipcheck.trust.label.unreachable,ui,IpCheckPage,IpCheckPage,trust_label_unreachable,Unreachable,,active
ipcheck.trust.text.excellent,ui,IpCheckPage,IpCheckPage,trust_text_excellent,Excellent reputation,,active
ipcheck.trust.text.great,ui,IpCheckPage,IpCheckPage,trust_text_great,Strong reputation,,active
ipcheck.trust.text.minor,ui,IpCheckPage,IpCheckPage,trust_text_minor,Minor risk,,active
ipcheck.trust.text.moderate,ui,IpCheckPage,IpCheckPage,trust_text_moderate,Moderate risk,,active
ipcheck.trust.text.severe,ui,IpCheckPage,IpCheckPage,trust_text_severe,Severe risk,,active
ipcheck.trust.text.restricted,ui,IpCheckPage,IpCheckPage,trust_text_restricted,Restricted region — Claude enforces strict risk controls,,active
ipcheck.trust.region_warn.title,ui,IpCheckPage,IpCheckPage,region_warn_title,Claude exit IP is in {{region}},,active
ipcheck.trust.region_warn.body,ui,IpCheckPage,IpCheckPage,region_warn_body,Avoid signing in — high chance of triggering account flagging.,,active
ipcheck.trust.region_support,ui,IpCheckPage,IpCheckPage,region_support,Claude support,,active
ipcheck.trust.region.accessible,ui,IpCheckPage,IpCheckPage,region_accessible,Accessible,,active
ipcheck.common.unknown,ui,IpCheckPage,IpCheckPage,common_unknown,Unknown,,active
ipcheck.props.title,ui,IpCheckPage,IpCheckPage,props_title,IP Attributes,,active
ipcheck.props.region,ui,IpCheckPage,IpCheckPage,props_region,Region,,active
ipcheck.props.city,ui,IpCheckPage,IpCheckPage,props_city,City,,active
ipcheck.props.type,ui,IpCheckPage,IpCheckPage,props_type,Type,,active
ipcheck.props.asn,ui,IpCheckPage,IpCheckPage,props_asn,ASN,,active
ipcheck.props.org,ui,IpCheckPage,IpCheckPage,props_org,ISP,,active
ipcheck.props.residential,ui,IpCheckPage,IpCheckPage,props_residential,Residential,,active
ipcheck.props.datacenter,ui,IpCheckPage,IpCheckPage,props_datacenter,Datacenter,,active
ipcheck.security.title,ui,IpCheckPage,IpCheckPage,sec_title,Security Checks,,active
ipcheck.security.vpn,ui,IpCheckPage,IpCheckPage,sec_vpn,VPN,,active
ipcheck.security.proxy,ui,IpCheckPage,IpCheckPage,sec_proxy,Proxy,,active
ipcheck.security.tor,ui,IpCheckPage,IpCheckPage,sec_tor,Tor,,active
ipcheck.security.crawler,ui,IpCheckPage,IpCheckPage,sec_crawler,Crawler,,active
ipcheck.security.abuser,ui,IpCheckPage,IpCheckPage,sec_abuser,Abuse history,,active
ipcheck.security.proxy_flag,ui,IpCheckPage,IpCheckPage,sec_proxy_flag,Proxy,,active
ipcheck.security.crawler_yes,ui,IpCheckPage,IpCheckPage,sec_crawler_yes,Yes,,active
ipcheck.security.crawler_no,ui,IpCheckPage,IpCheckPage,sec_crawler_no,No,,active
ipcheck.security.abuser_yes,ui,IpCheckPage,IpCheckPage,sec_abuser_yes,Reported,,active
ipcheck.security.abuser_no,ui,IpCheckPage,IpCheckPage,sec_abuser_no,Clean,,active
ipcheck.security.clean,ui,IpCheckPage,IpCheckPage,sec_clean,Not detected,,active
ipcheck.avail.title,ui,IpCheckPage,IpCheckPage,avail_title,Claude Availability,,active
ipcheck.avail.tooltip,ui,IpCheckPage,IpCheckPage,avail_tooltip,Claude servers run in the US; latency above 100ms from Asia is normal.,,active
ipcheck.avail.refresh,ui,IpCheckPage,IpCheckPage,avail_refresh,Refresh,,active
ipcheck.avail.svc_row,ui,IpCheckPage,IpCheckPage,avail_svc_row,Service status,,active
ipcheck.avail.latency.normal,ui,IpCheckPage,IpCheckPage,avail_lat_normal,Normal,,active
ipcheck.avail.latency.good,ui,IpCheckPage,IpCheckPage,avail_lat_good,Good,,active
ipcheck.avail.latency.slow,ui,IpCheckPage,IpCheckPage,avail_lat_slow,Slow,,active
ipcheck.avail.latency.unreachable,ui,IpCheckPage,IpCheckPage,avail_lat_unreach,Unreachable,,active
ipcheck.avail.svc.none,ui,IpCheckPage,IpCheckPage,avail_svc_none,All systems normal,,active
ipcheck.avail.svc.minor,ui,IpCheckPage,IpCheckPage,avail_svc_minor,Minor outage,,active
ipcheck.avail.svc.major,ui,IpCheckPage,IpCheckPage,avail_svc_major,Major outage,,active
ipcheck.avail.svc.critical,ui,IpCheckPage,IpCheckPage,avail_svc_critical,Critical outage,,active
ipcheck.avail.svc.maintenance,ui,IpCheckPage,IpCheckPage,avail_svc_maintenance,Maintenance,,active
ipcheck.avail.svc.other,ui,IpCheckPage,IpCheckPage,avail_svc_other,Disrupted,,active
ipcheck.dns.title,ui,IpCheckPage,IpCheckPage,dns_title,DNS Leak,,active
ipcheck.dns.status,ui,IpCheckPage,IpCheckPage,dns_status,Status,,active
ipcheck.dns.outlet,ui,IpCheckPage,IpCheckPage,dns_outlet,DNS exit,,active
ipcheck.dns.outlet_ip,ui,IpCheckPage,IpCheckPage,dns_outlet_ip,DNS exit IP,,active
ipcheck.dns.isp,ui,IpCheckPage,IpCheckPage,dns_isp,Provider,,active
ipcheck.dns.leaked,ui,IpCheckPage,IpCheckPage,dns_leaked,Possible leak,,active
ipcheck.dns.no_leak,ui,IpCheckPage,IpCheckPage,dns_no_leak,No leak detected,,active
ipcheck.dns.encrypted,ui,IpCheckPage,IpCheckPage,dns_encrypted,DNS encrypted or hidden,,active
ipcheck.dns.cn_tag,ui,IpCheckPage,IpCheckPage,dns_cn_tag,China DNS,,active
ipcheck.udp.title,ui,IpCheckPage,IpCheckPage,udp_title,WebRTC UDP Leak,,active
ipcheck.udp.status,ui,IpCheckPage,IpCheckPage,udp_status,Status,,active
ipcheck.udp.outlet,ui,IpCheckPage,IpCheckPage,udp_outlet,UDP exit,,active
ipcheck.udp.outlet_ip,ui,IpCheckPage,IpCheckPage,udp_outlet_ip,UDP exit IP,,active
ipcheck.udp.origin,ui,IpCheckPage,IpCheckPage,udp_origin,Origin,,active
ipcheck.udp.disabled,ui,IpCheckPage,IpCheckPage,udp_disabled,WebRTC disabled,,active
ipcheck.udp.no_leak,ui,IpCheckPage,IpCheckPage,udp_no_leak,No leak detected,,active
ipcheck.udp.leaked,ui,IpCheckPage,IpCheckPage,udp_leaked,Possible leak,,active
ipcheck.udp.anomaly,ui,IpCheckPage,IpCheckPage,udp_anomaly,Anomaly,,active
ipcheck.device.title,ui,IpCheckPage,IpCheckPage,dev_title,Device Info,,active
ipcheck.device.tz,ui,IpCheckPage,IpCheckPage,dev_tz,Timezone,,active
ipcheck.device.lang,ui,IpCheckPage,IpCheckPage,dev_lang,Language,,active
ipcheck.device.os,ui,IpCheckPage,IpCheckPage,dev_os,OS / Browser,,active
ipcheck.device.touch,ui,IpCheckPage,IpCheckPage,dev_touch,Touch,,active
ipcheck.device.net,ui,IpCheckPage,IpCheckPage,dev_net,Network type,,active
ipcheck.device.dnt,ui,IpCheckPage,IpCheckPage,dev_dnt,Do Not Track,,active
ipcheck.device.webgl_render,ui,IpCheckPage,IpCheckPage,dev_webgl_render,WebGL renderer,,active
ipcheck.device.canvas_fp,ui,IpCheckPage,IpCheckPage,dev_canvas_fp,Canvas fingerprint,,active
ipcheck.device.webgl_fp,ui,IpCheckPage,IpCheckPage,dev_webgl_fp,WebGL fingerprint,,active
ipcheck.device.match,ui,IpCheckPage,IpCheckPage,dev_match,Match,,active
ipcheck.device.mismatch,ui,IpCheckPage,IpCheckPage,dev_mismatch,Mismatch,,active
ipcheck.device.local,ui,IpCheckPage,IpCheckPage,dev_local,Local,,active
ipcheck.device.estimate_suffix,ui,IpCheckPage,IpCheckPage,dev_est_suffix,(est.),,active
ipcheck.device.diff_equal,ui,IpCheckPage,IpCheckPage,dev_diff_eq,Slight offset,,active
ipcheck.device.diff_ahead,ui,IpCheckPage,IpCheckPage,dev_diff_ahead,Claude is {{h}}h ahead,,active
ipcheck.device.diff_behind,ui,IpCheckPage,IpCheckPage,dev_diff_behind,Claude is {{h}}h behind,,active
ipcheck.device.lang_expected,ui,IpCheckPage,IpCheckPage,dev_lang_expected,Claude region usually,,active
ipcheck.device.touch_yes,ui,IpCheckPage,IpCheckPage,dev_touch_yes,Yes,,active
ipcheck.device.touch_no,ui,IpCheckPage,IpCheckPage,dev_touch_no,No,,active
ipcheck.device.dnt_on,ui,IpCheckPage,IpCheckPage,dev_dnt_on,On,,active
ipcheck.device.dnt_off,ui,IpCheckPage,IpCheckPage,dev_dnt_off,Off,,active
ipcheck.device.dnt_unset,ui,IpCheckPage,IpCheckPage,dev_dnt_unset,Unset,,active
ipcheck.device.net_unsupported,ui,IpCheckPage,IpCheckPage,dev_net_unsup,Not detected,,active
ipcheck.device.unsupported,ui,IpCheckPage,IpCheckPage,dev_unsupported,Unsupported,,active
ipcheck.history.title,ui,IpCheckPage,IpCheckPage,hist_title,Claude exit IP history,,active
ipcheck.history.subtitle,ui,IpCheckPage,IpCheckPage,hist_subtitle,"Stored only in this browser, up to 6 entries",,active
ipcheck.history.clear,ui,IpCheckPage,IpCheckPage,hist_clear,Clear,,active
ipcheck.history.empty,ui,IpCheckPage,IpCheckPage,hist_empty,No history yet,,active
ipcheck.history.current,ui,IpCheckPage,IpCheckPage,hist_current,Now,,active
ipcheck.region.CN,ui,IpCheckPage,IpCheckPage,region_cn,Mainland China,,active
ipcheck.region.HK,ui,IpCheckPage,IpCheckPage,region_hk,Hong Kong,,active
ipcheck.region.MO,ui,IpCheckPage,IpCheckPage,region_mo,Macao,,active
ipcheck.region.RU,ui,IpCheckPage,IpCheckPage,region_ru,Russia,,active
ipcheck.region.KP,ui,IpCheckPage,IpCheckPage,region_kp,North Korea,,active
ipcheck.region.IR,ui,IpCheckPage,IpCheckPage,region_ir,Iran,,active
ipcheck.region.SY,ui,IpCheckPage,IpCheckPage,region_sy,Syria,,active
ipcheck.region.CU,ui,IpCheckPage,IpCheckPage,region_cu,Cuba,,active
ipcheck.region.BY,ui,IpCheckPage,IpCheckPage,region_by,Belarus,,active
ipcheck.region.VE,ui,IpCheckPage,IpCheckPage,region_ve,Venezuela,,active
local_only.title,dashboard,LocalOnlyNotice,LocalOnlyNotice,title,Local dashboard required,,active
local_only.body,dashboard,LocalOnlyNotice,LocalOnlyNotice,body,Start the TokenTracker CLI locally and open its localhost URL. TokenTracker has no hosted or native-app fallback.,,active
shared.app_name,shared,*,*,app_name,Token Tracker,,active
cmdk.placeholder,ui,CommandPalette,CommandPalette,placeholder,Search pages and skills…,,active
